phrases,concepts
underarm anti-persperants,underarm
underarm anti-persperants for many years,underarm
anti-persperants for many years,for
hardening lacquer,hardening
hardening lacquer in the product,hardening
lacquer in the product,lacquer
aluminium free roll-on,aluminium
free roll-on,free
lingering question,question
kind of illnesses,kind
memory retention,memory retention
inefficient memory,inefficient
range of motion in both ankles,range of motion
motion in both ankles,motion
deformity of feet,deformity
weird posture,posture
walking habits,walking
limitation in ankles,limitation
vitamin d vitamin,vitamin d
d vitamin,d vitamin
excessive d,excessive
excessive d vit,excessive
excessive d vit in blood,excessive
d vit,vit
d vit in blood,vit
vit in blood,vit
calcium def,calcium
sever memory,sever
sever memory issues,sever
sever memory issues in young adults,sever
memory issues in young adults,memory
issues in young adults,young adults
weird muscoskeletal symptoms,symptoms
muscoskeletal symptoms,symptoms
pain in body,pain
meds for high bp,meds
folate supplements,folate
sigh of relief,sigh
prostate med,prostate
low bp as a side-effect,low bp
bp as a side-effect,side
links between prostate,between
links between prostate meds,between
memory clinic,memory
low level confusion,low level
level confusion,level
first house,first
watch to a digital watch,digital
digital watch,digital
things in great detail,great
lots of jokes,jokes
connections in conversations,connections
more abstract,more
appointment with the consultant,appointment
appointment with the consultant as a result,appointment
consultant as a result,consultant
memory test,memory
tropsium chloride,chloride
vasculer dementia,dementia
slight memory,slight
slight memory loss,slight
spike in forgetfulness,forgetfulness
jobsite without the hardware,without
amount of pain reliever,amount
dad to complications,dad
dad to complications of dementia,dad
dad to complications of dementia last year,dad
complications of dementia,complications
complications of dementia last year,complications
dementia last year,dementia
throat consultants,throat
inner ear system,inner ear
ear system,ear
outgoing life in local politics,life
life in local politics,life
local politics,local
anti cholesterol,cholesterol
anti cholesterol pills,cholesterol
cholesterol pills,cholesterol
patient community,patient
senior moments,senior
downward slope,downward
downward slope to dementia,downward
slope to dementia,slope
hi. mum,mum
congestive heart,congestive
congestive heart failure,congestive heart failure
odd behaviour,odd behaviour
surface as a commode,surface
dog hair,dog hair
severe anxiety disorder,severe
interest in personal hygiene,interest
hospital doctors,hospital
dementia screening,dementia
various questions,various
good strategies,good
inadequate tooth,inadequate
inadequate tooth brushing,inadequate
tooth brushing,tooth brushing
bad gums,bad
right directions,right
rest of the way,rest
angry interaction,angry
primary progressive aphasia,primary progressive aphasia
progressive aphasia,progressive aphasia
onset symptoms,onset
onset symptoms at age,onset
symptoms at age,symptoms
word finding,word
word finding difficulties,word
finding difficulties,finding
mri at the time,mri
mri at the time symptoms,mri
time symptoms,time
few minor cognitive inefficiencies,few
minor cognitive inefficiencies,minor
cognitive inefficiencies,cognitive
evidence of neurodegenerative processes,evidence of
issues with misspelling,with
issues with misspelling words,with
difficulty word,difficulty
difficulty word finding,difficulty
few language,few
boston naming,boston
boston naming test,boston naming test
naming test,naming
year old male with a nerological spinal condition,year
old male with a nerological spinal condition,old
male with a nerological spinal condition,male
nerological spinal condition,spinal
spinal condition,spinal
last febuary,last
close relatives,close
dogs name,dogs
better hope,better
sense owen,sense
head against lockers,head
span of a few months,span
stupid kid,kid
fear years,fear
small glimpses,small
childhood memories,childhood memories
mild short term,mild
mild short term forgetfulness,mild
short term forgetfulness,short term
term forgetfulness,term
blur with no sense,blur
blur with no sense of time,blur
sense of time,sense
mild head,mild
mild head injuries,mild
head injuries,head injuries
things like football,like
things like football players,like
football players,football
memory loss from hang,memory loss
loss from hang,loss
forgetful person,forgetful
incontinence pants,incontinence pants
wet bed,wet bed
kind of gene,kind
suggestions for supplements,suggestions
school for a while,school
professional accounting,professional
professional accounting certification,professional
professional accounting certification exam,professional
accounting certification,accounting
accounting certification exam,accounting
certification exam,certification
fish oil pills,fish oil
oil pills,oil
important stuff,important
daily problem,daily
bus pass for example,bus
pass for example,pass
things in places,places
wrong information,wrong
amount of 8hrs,amount
amount of 8hrs of sleep,amount
8hrs of sleep,sleep
terrible time with cigarettes,terrible
time with cigarettes,time
nightmare during the effect,nightmare
heart for weeks,heart
all- nighter,all
small cups,small
pressure on the temples,pressure
burning in the whole head,burning
whole head,whole
extreme somnolence,extreme
cold bath,cold
neurelgic amyotrophy,amyotrophy
day from the moment,day
day in a mix,day
last medication,last
medication over time,medication
daily atorvastatin,daily
daily bisoprolol,daily
daily candesartan,daily
daily candesartan 16mg,daily
candesartan 16mg,candesartan
daily bendroflumethiazide,daily
daily glyceryl,daily
daily glyceryl trinitrate,daily
glyceryl trinitrate,glyceryl trinitrate
night donepezil10mg1,night
night betahistine16mg,night
times daily lamotrigine,times
daily lamotrigine,daily
daily levetiracetam,daily
daily levetiracetam 1.5g,daily
levetiracetam 1.5g,levetiracetam
night mirtazapine,night
night venlalic,night
night venlalic xl,night
morning lorazepam,morning
daily pregabalin,daily
daily oramorph,daily
daily oramorph 10mg,daily
oramorph 10mg,oramorph
hours salmeterol,hours
daily senna,daily
night ispaghula,night
night ispaghula husk,night
ispaghula husk,ispaghula husk
daily simple trident,daily
daily simple trident t2,daily
daily simple trident t2 sterile leg,daily
daily simple trident t2 sterile leg bag,daily
simple trident,simple
simple trident t2,simple
simple trident t2 sterile leg,simple
simple trident t2 sterile leg bag,simple
trident t2,trident
trident t2 sterile leg,trident
trident t2 sterile leg bag,trident
t2 sterile leg,sterile
t2 sterile leg bag,sterile
sterile leg,sterile
sterile leg bag,sterile
other day clear advantage,day
other day clear advantage sheath,day
day clear advantage,day
day clear advantage sheath,day
clear advantage,clear
clear advantage sheath,clear
advantage sheath,advantage
day micro-enema,day
wild things,wild
chronic kidney disease,chronic kidney disease
health problems for the last several years,health
problems for the last several years,problems
last cardiologist,last
last cardiologist follow,last
cardiologist follow,cardiologist
blood work at the office,blood
work at the office,work
hallucinations in elderly people,hallucinations
elderly people,elderly
own world,world
bad bouts,bad
bad bouts of hallucinations,bad
bouts of hallucinations,bouts
mom last night,mom
short conversation,short
memory tests,memory
memory tests for possible vascular dementia,memory
tests for possible vascular dementia,tests
possible vascular dementia,possible
walk next minute,walk
next minute,next
hard time breathing,hard
kidneys failure,kidneys
mouth kind,mouth
one on forehead,one
different cough,different
bad pneumonia,bad
dads chance,dads
painful dvt,painful
painful dvt last year,painful
dvt last year,dvt
lifelong blood,blood
lifelong blood thinners,blood thinners
bad cramp,bad
bad cramp in that calf,bad
cramp in that calf,cramp
hard rock,hard
familiar experience,familiar
familiar experience of pain,familiar
experience of pain,experience
moment of panic,panic
plus side,side
months post dvt,months
post dvt,post
cm larger circumference,larger
larger circumference,larger
dvt panics,dvt
loads of hot feelings,hot
hot feelings,hot
same little hot feeling,same
little hot feeling,little
hot feeling,hot feeling
left boob,left
heart someine,heart
dvt on friday,dvt
trip to ecuador,trip
plane for a long time,plane
shortest flights,shortest
several up,several
downs to the bathroom,bathroom
couple different days,couple
minutes with the doctor,minutes
drug kind,drug
fair amount of time,fair
fair amount of time in the backcountry,fair
amount of time in the backcountry,amount
time in the backcountry,time
risk of a bleed,risk of
months of pills,months
power equipment,power
fear of bleeding,fear of
swelling in the calf,swelling
compression socks,compression
compression socks saturday,compression
socks saturday,socks
prognosis for dvt,prognosis
prognosis for dvt in the thigh,prognosis
dvt in the thigh,dvt
prominent varicose vein,prominent
prominent varicose vein last week,prominent
varicose vein,varicose vein
varicose vein last week,varicose vein
vein last week,vein
business trip,business
business trip to milan,business
business trip to milan via frankfurt,business
business trip to milan via frankfurt today,business
trip to milan,trip
trip to milan via frankfurt,trip
trip to milan via frankfurt today,trip
milan via frankfurt,via
milan via frankfurt today,via
frankfurt today,today
hospital with a thrombosis,hospital
flight socks,flight
wake up call,wake up
sort of exercise,sort
suitable sensible changes,suitable
sensible changes,changes
inner left thigh,inner
indication of dvt,indication of
middle aged man,middle aged
aged man,aged
lumps on the inside,lumps
body for changes,body
darker skin,skin
ring around a lighter colour,ring
shiny centre,shiny
larger lump,larger
watery stuff,watery
antiseptic cream,antiseptic
lot of leg,lot
lot of leg aches,lot
pains for the last few years,pains
current appointment,current
factor x,factor x
factor x inhibitor,factor x
factor x inhibitor for several months,factor x
x inhibitor,inhibitor
x inhibitor for several months,inhibitor
inhibitor for several months,inhibitor
likelihood of new ones,likelihood
frequency of reoccurrence,frequency
frequency of reoccurrence of clots,frequency
reoccurrence of clots,clots
thanks big d,big
big d,big
d dimer result,d dimer
dimer result,dimer
toradol shot,toradol
edoxaban anticoagulant,edoxaban
edoxaban anticoagulant as regular therapy,edoxaban
anticoagulant as regular therapy,anticoagulant
regular therapy,regular
deep muscle massage,deep
muscle massage,muscle
aggressive massage,aggressive
aggressive massage of muscle,aggressive
massage of muscle,massage
joints for sports,joints
joints for sports type,joints
joints for sports type of injuries,joints
sports type,sports
sports type of injuries,sports
type of injuries,type
lot at the time,lot
remarkable benefit,benefit
remarkable benefit from the treatment,benefit
benefit from the treatment,benefit
uncomfortable therapy,therapy
cheers big d,big
pain inside the leg,pain
surgery in hospital,surgery
risk of dvt,risk of
months on blood,months
months on blood thinning,months
months on blood thinning medication,months
weeks bed,weeks
weeks bed rest,weeks
weeks bed rest with legs,weeks
bed rest with legs,bed rest
rest with legs,rest
anti seizure medications,seizure
seizure medications,seizure
experience with csvt,experience
medication of amitriptyline,medication
gp several times,several
back wards,back
forwards to gp,forwards
forwards to gp with scary syntoms,forwards
gp with scary syntoms,with
aching leg,aching
total panic,total
dose at the weekend,dose
i'm on eliquis,eliquis
hospital for bilateral pe,hospital
right outer bicep,right
outer bicep,outer
upper right arm,upper
touch in that spot,touch
subtle redness,redness
result of a nerve problem,result
nerve problem,nerve problem
photo of the spot,spot
pulminory embolism,embolism
pulminory embolism in march,embolism
embolism in march,embolism
hospital at start,hospital
lock down consultant,lock
body yesterday,body
body yesterday after a month,body
yesterday after a month,after
miles cycling,miles
strangest sensation,sensation
lump about the size,lump
lump about the size of a marble,lump
size of a marble,size
saturday of last week,saturday
bad roads,bad
only ache,only
eliquis for blood,eliquis
eliquis for blood thinners,eliquis
post-thrombotic syndrome,post
thigh region,thigh
compresion stocking,stocking
left leg atm,left leg
leg atm,leg
recurrent blood,recurrent
recurrent blood clot,recurrent
hormonal pill,hormonal
upper hamstring,upper
tin sodium,tin
tin sodium injections,tin
sodium injections,sodium
first deep vein,first
first deep vein thrombosis,first
healthy young women,healthy
healthy young women with no other issues,healthy
young women with no other issues,young
women with no other issues,women
gym after a month,after
entire month of february,entire
month of february,month
evident swelling,swelling
question post,question
mt symptoms,symptoms
ivc atresia,ivc
ivc atresia in september,ivc
atresia in september,atresia
bilateral dvts,bilateral
mg bd of apixaban,apixaban
bd of apixaban,apixaban
mg bd in january,january
bd in january,january
fragmin injections,fragmin
lower dosage of apixaban,lower
dosage of apixaban,dosage
venous stent,venous
venous stent procedure,venous
experience with the stent,experience
experience with the stent procedure,experience
experience with the stent procedure procedure,experience
stent procedure procedure,stent
procedure procedure,procedure
long term effects of post,long term effects
long term effects of post thrombotic syndrome,long term effects
term effects of post,term
term effects of post thrombotic syndrome,term
effects of post,effects
effects of post thrombotic syndrome,effects
negative covid results,negative
lung drs,lung
heart drs,heart
heart carth,heart
healthy person until november,healthy
person until november,person
newest sleep,sleep
newest sleep apnea,sleep apnea
f. 21st march,march
f. 21st march night,march
f. 21st march night time,march
21st march,march
21st march night,march
21st march night time,march
march night,march
march night time,march
usual muscle,usual
usual muscle ache,usual
usual muscle ache sensation,usual
muscle ache sensation,muscle ache
ache sensation,ache
24th mar,mar
24th mar night,mar
24th mar night time,mar
mar night,mar
mar night time,mar
few times on the soles,few
times on the soles,times
electric shock in the area,electric shock
shock in the area,shock
several seconds,several
different spot,different
mins in different spots,different
different spots,different
top of a vein,top
top of a vein area,top
vein area,vein
bed( cross,bed
term break,term
term break after finals,term
break after finals,break
track of the time,track
mushy stools,stools
mushy stools since 24th,stools
stools since 24th,stools
medication from gp,medication
same type of pain,same
s( along veins,veins
electric shock for a brief moment,electric shock
shock for a brief moment,shock
brief moment,brief
dvt after injury,dvt
poplitialic vein,vein
dvt below the knee,dvt
odd things,odd
night sleep with some pains,night
sleep with some pains,sleep
bit swollen vein,bit
swollen vein,swollen vein
dvt worsening,dvt
poplitalic vein,vein
flow of blood,flow
xarelto( rivaroxaban,xarelto
kind of reclanization,kind
blood clotting problems,blood clotting
clotting problems,clotting
vein pop,vein
local heat,local
moderna vaccination,vaccination
mid-level response,mid
mid-level response after the 2nd dose,mid
response after the 2nd dose,response
2nd dose,2nd
dvt vein,dvt
dvt vein pop,dvt
dvt condition,dvt
many concerns,many
many concerns of dvt,many
concerns of dvt,concerns
leech therapy,leech therapy
vibrational therapy,therapy
advance for any hints,advance
unexplained aches,unexplained
first dvt,first
same type of ache,same
type of ache,type
noticeable ache,ache
years after a dvt,years
thanks in advance for any response,advance
advance for any response,advance
april 9th,april
j&j vaccine,vaccine
negative covid anitobidy,negative
antigen test,antigen test
antigen test on may,antigen test
antigen test on may 4th,antigen test
test on may,test
test on may 4th,test
may 4th,may
heart heart,heart
heart heart attack,heart
metobolic panel,panel
d-dimer level,d-dimer
review of all labs,review of
high d-dimers,high
faith campbell,faith
week on the celexa,week
most stuff,most
muscle after a day,muscle
family history of ..blood,family history of
family history of ..blood work,family history of
history of ..blood,history of
history of ..blood work,history of
..blood work,blood
d-dimer test,d-dimer
subsides for a night,for
subsides for a night til dr,for
subsides for a night til dr google,for
night til dr,night
night til dr google,night
heart palpatations,heart
oestrogen cream for ic,oestrogen
cream for ic,cream
instillations at the hospital,instillations
months for further instillations,months
further instillations,further
relief from the pain,relief
unprotected sex with a female,unprotected sex
sex with a female,sex
cause of all these problems,cause
generic medication,generic
full medication,full
full medication list,full
medication list,medication list
weak urine,weak
weak urine stream,weak
energy whatsoever,energy
normal poop,normal
energy level,energy level
diagnosis of cystitis,diagnosis
diagnosis of cystitis glandularis,diagnosis
cystitis glandularis,cystitis glandularis
anti-inflammation meds,inflammation
none of the meds,none
burning sensation to this day,burning sensation
sensation to this day,sensation
tiredness problems,tiredness
numerous other blood,numerous
numerous other blood tests,numerous
testosterone tests,testosterone
primary care doctor to the time,primary care doctor
care doctor to the time,care
doctor to the time,doctor
countless different types,different
countless different types medication,different
different types medication,different
types medication,types
stool problems,stool
diagnosis of helicobacter,diagnosis
diagnosis of helicobacter pylori,diagnosis
low energy,low energy
potential relationships,potential
year olds body,year
olds body,body
overall mood,overall
number of strange symptoms,number
intestinal cystitis,intestinal
lower mid-right pelvic region,lower
mid-right pelvic region,mid
gp in february,february
rectal issues,rectal
intense aching,intense
proctalgia fugix,proctalgia
proctalgia fugix with possible levator,proctalgia
proctalgia fugix with possible levator ani,proctalgia
proctalgia fugix with possible levator ani syndrome,proctalgia
fugix with possible levator,with
fugix with possible levator ani,with
fugix with possible levator ani syndrome,with
possible levator,possible
possible levator ani,possible
possible levator ani syndrome,possible
levator ani,levator ani
levator ani syndrome,levator ani syndrome
ani syndrome,ani syndrome
pelvic ache,pelvic
bladder ultrasound,bladder ultrasound
bladder ultrasound in october,bladder ultrasound
ultrasound in october,ultrasound
pelvic scan,pelvic
pelvic scan in march,pelvic
scan in march,scan
deep pelvic ache,deep
urology at the hospital,urology
long waiting list,long
pelvic floor problem,pelvic floor
floor problem,floor
physio for myofascial stretch,for
myofascial stretch,stretch
course of bcg,course
course of bcg instillations,course
bcg instillations,bcg
cbd capsules,cbd
sex toy,sex
intense feeling,intense
whole entire month,whole
whole entire month of november,whole
entire month of november,entire
month of november,month
numerous urine,numerous
numerous urine test,numerous
yeast infection test,yeast infection
infection test,infection
pelvic floor physio,pelvic floor
pelvic floor physio therapist,pelvic floor
floor physio,floor
floor physio therapist,floor
physio therapist,therapist
gyno appointment,appointment
natural wipe,natural
menstrual products,menstrual products
counter meds,counter
epson salt,salt
epson salt baths,salt
tons of water,tons
bcg treatment for bladder,bcg
bcg treatment for bladder cancer,bcg
treatment for bladder,treatment
treatment for bladder cancer,treatment
severe cystitis,severe
weekly treatments,weekly
weekly treatments of cystitat,weekly
weekly treatments of cystitat treatment,weekly
treatments of cystitat,treatments
treatments of cystitat treatment,treatments
cystitat treatment,treatment
good whatsoever,good
hour day,hour
bladder with the pain,bladder
pain before october,pain
more trips,more
more trips to theatre,more
more trips to theatre over the space,more
trips to theatre,trips
trips to theatre over the space,trips
theatre over the space,theatre
quick cure,quick
constant agony with a new baby,constant
agony with a new baby,agony
referal to pelvic floor,pelvic floor
referal to pelvic floor physio,pelvic floor
certain food,certain
problem from surgery,problem
appointment with a urologist,appointment
local private hospital,local
long nhs,long
long nhs waiting,long
long nhs waiting list,long
twitching sensation,twitching
pelvic floor exercises,pelvic floor exercises
floor exercises,floor
deep throbbing,deep
deep throbbing ache,deep
throbbing ache,throbbing
lower mid-right pelvic,lower
lower mid-right pelvic area,lower
mid-right pelvic,mid
mid-right pelvic area,mid
oab medication,medication
different type,different
pelvic ultrasound,pelvic
ml of pee,pee
things to the doctor,doctor
control of the situation,control
gross hematuria on monday,gross hematuria
hematuria on monday,hematuria
red inflammation,red
red inflammation throughout bladder,red
inflammation throughout bladder,inflammation
inflammation in the bladder,inflammation
microgen test,test
horrible day,day
deep ache in the mid-lower,deep
deep ache in the mid-lower right section,deep
ache in the mid-lower,ache
ache in the mid-lower right section,ache
mid-lower right section,mid
liquids like water,liquids
bit like the throbbing,bit
bit like the throbbing sensation,bit
actual bladder,actual
acidic foods,acidic
fizzy drinks,drinks
only doubt,only
one in the medical field,one
people with painful bladder,people
people with painful bladder syndrome,people
bad experience with medical marijuana,bad
experience with medical marijuana,experience
whole bladder,whole
whole bladder condition,whole
bladder condition,bladder
terms of urgency,urgency
discomfort in the gentials,discomfort
water drinker,water
thermoses of water,water
decaf coffee,coffee
decaf coffee around december,coffee
coffee around december,coffee
citrus drinks,citrus
citrus drinks since october,citrus
drinks since october,drinks
resurgence over the past several days,over
same feeling of severe urgency,same
feeling of severe urgency,feeling
severe urgency,severe
burning with urination,burning
discomfort for the rest,discomfort
discomfort of inflammation,discomfort
nice coffeeshop,nice
nice coffeeshop with friends,nice
coffeeshop with friends,with
online opinion,opinion
diagnosis of ic,diagnosis
bacterial utis,bacterial
description of ic,description
systemic unwellness,systemic
systemic unwellness with ic,systemic
unwellness with ic,unwellness
counter antihistamine,counter
counter antihistamine for cystitis,counter
complete lock,complete
prescription from the doc,prescription
weeks with swollen tummy,weeks
feeling of pressure on the bladder,feeling
swollen tummy symptom,swollen
tummy symptom,symptom
lot of excercise,lot
quality of life at moment,quality of life
life at moment,life
alfull bladder,bladder
alfull bladder complaint,bladder
bladder complaint,bladder
cetirizine antihistamine,cetirizine
cetirizine antihistamine tablets,cetirizine
cetirizine antihistamine tablets for ic,cetirizine
antihistamine tablets for ic,antihistamine
tablets for ic,tablets
ic bladder,bladder
ic bladder thanks,bladder
ic bladder thanks kent,bladder
bladder thanks,bladder
bladder thanks kent,bladder
thanks kent,kent
reassurance about the bladder,reassurance
reassurance about the bladder pain,reassurance
cystitis many times,cystitis
various antibiotics,various
new antibiotic,new
usual things,usual
usual things of d,usual
usual things of d mannose,usual
things of d mannose,d mannose
cranberry tablets,cranberry
cranberry tablets in addition,cranberry
cranberry tablets in addition to the antibiotics,cranberry
tablets in addition,tablets
tablets in addition to the antibiotics,tablets
addition to the antibiotics,addition
good mum,good
best treatments,best
baby at this stuff,baby
lot of trial,lot
error in the past,error
new hope,new
depressed point,depressed
painful uti,painful
blood in the urine,blood
utis over the course,utis
daily trimethoprim,daily
time nitrofuratoin,time
olive leaf,olive leaf
olive leaf extract,olive leaf extract
d' mannose,mannose
bladder in a sharp spam,bladder
sharp spam,sharp
initial uti,initial
whack with all the antibiotics,with
uti per see,uti
year old life,year
recurrent uti's,recurrent uti
second month,second
many antibiotics to the point,many
antibiotics to the point,antibiotics
sex in case,sex
break week,break
break week from the pill,break
week from the pill,week
link between the contraceptive pill,link
little bit of cystitis,little
bit of cystitis,bit
month course,month
many times in the past year,many
times in the past year,times
couple of utis,couple
couple of utis over the past few years,couple
utis over the past few years,utis
awful burning sensation,burning sensation
tight sensation,tight
painful urine,painful
painful urine stream,painful
strange smell,smell
much discharge,much
massive over-,massive
massive over- thinker,massive
over- thinker,over
further research,further
uti last december,uti
feeling of uti,feeling
feeling of uti symptoms,feeling
general constant discomfort,general
general constant discomfort feeling,general
constant discomfort feeling,constant
discomfort feeling,discomfort
last bit,last
constant burning pain,constant
pelvic floor dysfunction issue,pelvic floor
floor dysfunction issue,floor
dysfunction issue,dysfunction
peeing retaining,retaining
peeing retaining issue,retaining
retaining issue,retaining
cc of urine,urine
exact same problem,exact
plenty of visible blood,visible blood
visible blood,visible blood
low dose trimethoprim,low dose
dose trimethoprim,dose
antibiotics long term,antibiotics
minutes with the pain,minutes
small stream,small
numerous wee,numerous
numerous wee tests,numerous
wee tests,wee
sitting job,sitting
sitting job in an office,sitting
job in an office,job
standing table,standing
sort of nerve problem,sort
male with bladder,male
male with bladder problems,male
interstitial cystitis like symptoms,interstitial cystitis
interstitial cystitis like symptoms for years,interstitial cystitis
cystitis like symptoms,cystitis
cystitis like symptoms for years,cystitis
symptoms for years,symptoms
minutes of urination,minutes
ultrasound of kidneys,ultrasound
non bacterial prostatitis,non
main symptom of ic,main
symptom of ic,symptom
ic symptom,symptom
day time symptoms,day
small urine,small
go about some symptoms,about
private urologist,private
private urologist in october,private
urologist in october,urologist
last urologist,last
nhs in november,nhs
quercetin supplements,quercetin
occasional urethra,occasional
aching to some extent,aching
more frequency,more
third flare,third
food diary,food diary
tight pelvic floor,tight
tight pelvic floor muscles,tight
pelvic floor muscles,pelvic floor
floor muscles,floor
times in a day,times
worried food,worried
sugar intake,sugar intake
odd bowl of vanilla,odd
odd bowl of vanilla ice,odd
odd bowl of vanilla ice cream,odd
bowl of vanilla,bowl
bowl of vanilla ice,bowl
bowl of vanilla ice cream,bowl
bowl of vanilla ice cream for a treat,bowl
vanilla ice,vanilla
vanilla ice cream,vanilla
vanilla ice cream for a treat,vanilla
ice cream for a treat,ice cream
cream for a treat,cream
decaf tea,tea
secretary of the private uro,secretary
private uro,private
nhs ones,nhs
boyfriend as last time,boyfriend
constant tears,constant
life thing,life
constant uti,constant
prescriptions for ciprofloxacin,prescriptions
endless rounds,rounds
scan of the bladder,scan
common antibiotics,common
other couple,couple
loop of pain,loop
hair removal,hair removal
experience with uti,experience
private semen,private
private semen analysis,private
semen analysis,semen analysis
urethral swab,urethral swab
cloudy urine with ic,cloudy urine
urine with ic,urine
choice between a suppression,choice
choice between a suppression test,choice
functional neurological disorder,functional
lump with the sudden weight,lump
lump with the sudden weight gain,lump
sudden weight gain,sudden
other blood tests over the last year,blood tests
blood tests over the last year,blood tests
tests over the last year,tests
lot of heart palpitations,lot
mg dexamethasone suppression blood,dexamethasone
mg dexamethasone suppression blood test,dexamethasone
dexamethasone suppression blood,dexamethasone
dexamethasone suppression blood test,dexamethasone
overnight suppression,overnight
overnight suppression test,overnight
cisternogram with nuc,cisternogram
cisternogram with nuc med,cisternogram
nuc med,nuc
majority of the test,majority
eye with a hammer,eye
area of concern,area
area of concern for a csf,area
area of concern for a csf leak,area
concern for a csf,concern
concern for a csf leak,concern
edophatic sac,sac
edophatic sac decompression,sac
sac decompression,sac
awful post,post
awful post lumbar,post
awful post lumbar puncture,post
awful post lumbar puncture headache,post lumbar puncture headache
post lumbar puncture headache,post lumbar puncture headache
post lumbar puncture headache for the last week,post lumbar puncture headache
lumbar puncture headache for the last week,lumbar puncture headache
puncture headache for the last week,puncture
headache for the last week,headache
symptom post,symptom
symptom post lp,symptom
myelogram last monday,myelogram
day after the test,day
tylenol extra strength,tylenol extra strength
lot of fluids,lot
bat in the back,bat
myelogram on monday,myelogram
september 17th,september
sleep on the recliner,sleep
cold compress,cold compress
cold compress on the back,cold compress
compress on the back,compress
advil gel,advil
advil gel caps,advil
gel caps,gel
ortho doc on oct.,ortho
ortho doc on oct. 8th,ortho
doc on oct.,doc
doc on oct. 8th,doc
oct. 8th,oct
brain surgery,brain surgery
brain surgery for a csf,brain surgery
brain surgery for a csf leak,brain surgery
surgery for a csf,surgery
surgery for a csf leak,surgery
symptoms of ih,symptoms
headach after the lp,after
dvt from an lp,dvt
ih problems,problems
lumbar puncture on wednesday,lumbar puncture
puncture on wednesday,puncture
side effects from the lumbar puncture,side effects
effects from the lumbar puncture,effects
unspecified headaches,unspecified
infamous spinal headache,spinal headache
spinal headache,spinal headache
quarter size,quarter
quarter size lump,quarter
quarter size lump on the site,quarter
size lump on the site,size lump
size lump on the site of the blood,size lump
lump on the site,lump
lump on the site of the blood,lump
lump on the site of the blood patch,lump
site of the blood,site of
site of the blood patch,site of
hospital of diarrhea,hospital
week on monday,week
day with back,day
day with back pains,day
big worse part,big
spine in the precise area,spine
precise area,precise
dull tinge,dull
little cyst,little
couple doctors from the same medical establishment,couple
doctors from the same medical establishment,doctors
same medical establishment,same
warm temperatures,warm
days after the puncture,days
severe headaches for a week,severe
headaches for a week,headaches
clear lp,clear
bloody tap,bloody
lp like a pressure,like
hospital multiple times,hospital
pineal gland,pineal gland
pineal gland cyst,pineal gland cyst
gland cyst,gland
empty sella,empty sella
cu mm,cu mm
cu mm standard range,cu mm
mm standard range,standard
cu mm wbc,cu mm
mm wbc,wbc
cu mm standard,cu mm
mm standard,standard
cu mm neutrophils,cu mm
mm neutrophils,neutrophils
symptoms of a csf,symptoms
symptoms of a csf leak,symptoms
throat drainage,throat
doctors instructions,doctors
serious hypertension,serious
csf leaks,csf
extreme diziness,extreme
extreme diziness low pressure,extreme
diziness low pressure,low pressure
low pressure,low pressure
migraine type,migraine
migraine type headache,migraine
migraine type headache sensetivity,migraine
migraine type headache sensetivity to light,migraine
type headache,type
type headache sensetivity,type
type headache sensetivity to light,type
headache sensetivity,headache
headache sensetivity to light,headache
sensetivity to light,light
spinal tap last thursday,spinal tap
tap last thursday,tap
emergency for sever,emergency
emergency for sever headache,emergency
sever headache,sever
head ct,head ct
head ct scan,head ct scan
emergency on sunday,emergency
anesthesia department,anesthesia department
blood patches,blood
path for healing,path
right sciatica,right
discomfort at the puncture,discomfort
discomfort at the puncture site,discomfort
puncture site,puncture
head discomfort,head discomfort
year of endless pain,year
endless pain,pain
lots of appointments,appointments
lots of appointments with different doctors,appointments
appointments with different doctors,appointments
months in hospital,months
morning until the moment,morning
little bit of relief,little
bit of relief,bit
day on the couch,day
strong mental tiredness,strong
mental tiredness,mental
perfect mri,mri
drugs trial,drugs
primary progressive ms,primary
progressive ms,progressive
other people on the internet,people
people on the internet,people
effects from the lumber,effects
effects from the lumber punctures,effects
lumber punctures,punctures
chance of paralysis,chance
ms nurse,nurse
specialist neurologist,specialist
way after the procedure,after
depth internet,depth
depth internet research,depth
viral meningitis,viral meningitis
bacterial meningitis,bacterial meningitis
chronic head,chronic
paediatrics at the hospital,paediatrics
epidural blood,epidural
epidural blood patch,epidural blood patch
issues with headaches,with
average health,average
health before a couple,health
health before a couple of years,health
last half year,last
half year,half
cerebrospinal fluid analysis,cerebrospinal fluid
fluid analysis,fluid
test results from the cerebrospinal fluid,test results
test results from the cerebrospinal fluid analysis,test results
results from the cerebrospinal fluid,from
results from the cerebrospinal fluid analysis,from
metric units,metric
immunglobulin g/ albumin,albumin
g/ albumin,albumin
enought cells,cells
g/l normal range,g/l
lot of head,lot
lot of head pressure,lot
spacey feeling,feeling
weeks after the lumbar puncture,weeks
stupid lumbar puncture,lumbar puncture
head numbness,head numbness
lp november,november
lp november 6th,november
little piece of info,little
piece of info,piece
shooting pains after lumbar,pains
shooting pains after lumbar puncture,pains
shooting pains after lumbar puncture experience,pains
shooting pains after lumbar puncture experience spinal headache,pains
pains after lumbar,pains
pains after lumbar puncture,pains
pains after lumbar puncture experience,pains
pains after lumbar puncture experience spinal headache,pains
lumbar puncture experience,lumbar puncture
lumbar puncture experience spinal headache,lumbar puncture
puncture experience,puncture
puncture experience spinal headache,puncture
