concepts|phrases
Weakness of hand|hands, have little or no grip
Lipitor|Lipitor
Burning sensation|burning sensations
Backache|pains in her back
Urinary frequency|frequent urination
Difficulty sleeping|hard time sleeping
Weight gain|Weight gain
Severe pain|extreme muscle aches
Fatigue|fatigue
Constipation|constipation
Diarrhoea|diarrhea
Asthma|asthma flare-ups
Insomnia|insomnia
Bizarre dreams|weird dreams
Asthenia|so weak
Generalised aches and pains|ached all over, especially in legs
Lipitor|Lipitor
Lipitor|LIPITOR
Lipitor|Lipitor
Severe pain|EXTREME PAIN IN SHOULDERS
Severe pain|EXTREME PAIN IN NECK
Amnesia|MEMORY LOSS
Upset stomach|SICK TO MY STOMACH
Asthenia|Extreme fatigue
Headache|headaches
Cramp in calf|cramping in both calves
Memory impairment|memory problems
Mentally dull|like Im in a fog all the time
Zocor|ZOCOR
Lipitor|LIPITOR
Type 2 diabetes mellitus|Type II diabetic
Lipitor|Lipitor
Unsteady when walking|unsteasiness walking
Unable to balance|loss of balance
Foot pain|acute pain in both feet
Neurontin|Neurontin
Weakness of limb|weakness in knees
Weakness of limb|weakness in legs
Numbness of finger|numbness in fingers
Excessive upper gastrointestinal gas|general weakness in hands
Lipitor|Lipitor
Lipitor|Lipitor
Neurontin|Neurontin
ubidecarenone|coenzyme Q10
Lipitor|Lipitor
Lipitor|Lipitor
Asthenia|declining physical ability
Elbow joint pain|Joint pain (elbows!)
Numbness and tingling sensation of skin|buzzing left leg
Unable to balance|loss of balance
Amnesia|MEMORY LOSS
Blurred vision - hazy|blurred vision
Lipitor|Lipitor
High pain threshold|high tolerance for pain
Pain|pain
Poor short-term memory|short-term memory disappeared
Loss of appetite|lack of attention
ascorbic acid|vitamin C
Heart disease|heart disease
Insomnia|Insomnia
Nightmares|vivid nightmares
Myalgia|muscle pain
Asthenia|weakness
Tired all the time|tired all the time
Depression|depression
Pain in finger|fingers hurt
Swelling of finger|fingers swelled up
Gout|gout
Arthritis|arthritis
Hand joint pain|joints in my hands hurt
Knee pain|knee hurt
Knee joint painful on movement|hurt to bend my knee
Lipitor|lipitor
Arthralgia|joint pain
Lipitor|liptor
Lipitor|liptor
Reduced libido|decreased libido
Muscle atrophy|lost a lot of muscle and replacedit with fat
Diarrhoea|dioreaha
Myalgia/myositis - shoulder|muscle pain just below shoulder blades
Backache|muscle pain in back
Headache|headaches
Difficulty sleeping|doesnt sleep very well at night
Excessive upper gastrointestinal gas|gets tired a lot
Excruciating pain|EXCRUCIATING PAIN IN NECK
Excruciating pain|EXCRUCIATING PAIN IN SHOULDERS
Amnesia|MEMORY LOSS
Malaise|FELT JUST STRANGE
Lipitor|LIPITOR
Depression|DEPRESSED
Constant pain|HIDEOUS CONSTANT PAIN
Lipitor|LIPITOR
Cramp in calf|Cramps in calves
Swelling of lower limb|Legs feel swollen
Muscle fatigue|Legs feel tired
Neck pain|Neck and shoulders are sore all the time
Neck pain|Neck and shoulders ache
Muscle cramp|severe muscle cramping
Zocor|Zocor
Lipitor|Lipitor
Lipitor|Lipitor
Lacks confidence|destroyed my self-confidence
Myocardial infarction|heart attack
Depression|depression
Insomnia|sleeplessness
Muscle weakness|muscle weakness
Achilles tendonitis|Achilles Tendonsitis
Foot pain|foot pain
Weakness of limb|weakness in upper arm muscles
Severe pain|severe knee pain
Excessive upper gastrointestinal gas|gas
Arthritis of hand|arthritis like symptoms in hands
Swollen ankle|swelling of ankles
Pain in lower limb|shin pain
Fatigue|increased fatigue
Cramp in lower limb|occasional leg cramps
Tremor|right hand tremor
Abnormal gait|affected gait--small steps
Impaired mobility|slowness in movement
Lipitor|lipitor
Parkinson's disease|parkinson's
Degenerative disease of the central nervous system|neurodegenerative disease
Neurological symptom|neuro symptoms
Amyotrophic lateral sclerosis|amyotrophic lateral sclerosis
Parkinson's disease|parkinson/s
Alzheimer's disease|alzheimer's
Degenerative disease of the central nervous system|neurodegenerative diseases
Degenerative disease of the central nervous system|neurodegenerative diseases
Cramp in lower limb|leg cramps
Lipitor|Lipitor
Myocardial infarction|heart attack
potassium|potassium
magnesium|magnesium
alpha tocopherol|vitamin E
Lipitor|Lipitor
Muscle cramp|cramps
Lipitor|Lipitor
Muscle cramp|cramps
Muscle cramp|cramps
Muscle cramp|cramping
Reduced libido|taking one's appetite for sex away
Pain in right arm|pain in upper right arm
Pain in upper limb|pain in my arm and shoulder
Herpes zoster|shingles
Herpes zoster|shingles
ubidecarenone|CoQ10
Lipitor|Lipitor
Non-smoker|No smoking
Serum cholesterol raised|Cholesterol has been high
Generalised aches and pains|everything hurts
Generalised aches and pains|aches and pains
Arthritis|arthritis
Lipitor|Lipitor
Generalised aches and pains|aches and pains
Tunnel vision|tunnel vision
Vertigo|vertigo
Pins and needles|tingling hands
Pins and needles|tingling legs
Pins and needles|tingling face
Numbness of hand|numbness hands
Numbness of lower limb|numbness legs
Numbness of face|numbness face
Right hemiparesis|complete weakness in the right side of my body
Muscle weakness|loss of strength
Flushing|complete body flushes (like a hot flash without the hot)
Transient ischaemic attack|TIA
Flushing|body flushes
Lipitor|Lipitor
Lipitor|Lipitor
Intracranial aneurysm|brain aneurysm
Backache|muscular pain in the back
Diarrhoea|diarreah
Myalgia|Muscle aches & pains
Fatigue|fatigue
Temporal lobe epilepsy|Temporal Lobe epilepsy
Spasm of back muscles|severe back spasms
Severe pain|intense pain in my knees
Spasm|spasms all throughout my legs
Weakness of limb|Weakness in my right arm
Heavy feeling|feeling like I was walking through waist-deep mud
Unable to walk|I simply could not walk
Moderate anxiety|Extreme anxiety
ubidecarenone|COQ10
potassium|potassium
Headache|blinding headaches
Neck pain|neck pain
Shoulder pain|shoulder pain
Amnesia|Memory loss
Fatigue|severe fatigue
Generalised aches and pains|aches and pains
Lipitor|lipitor
Malaise|feel pretty lousy
Malignant tumour of colon|Colin cancer
Lipitor|Lipitor
Liver enzymes abnormal|liver enzymes to rise
Muscle rigidity|muscle stiffness
Joint stiffness|joint stiffness
Rib pain|sore ribs
Lipitor|Lipitor
Muscle rigidity|muscle stiffness
Myalgia|Muscle pain
Severe pain|Severe joint pain in the knees
Severe pain|Severe joint pain in the shoulders
Hand pain|Pain in my hands
Pain in lower limb|Pain in my lower legs
Cramp in lower leg|cramping in my lower legs
Hand cramps|cramping in my hands
Numbness of toe|Numbness in all of my toes
Numbness of finger|Numbness in all of my finger tips
Frequent night waking|Wake up on and off all night long
Numbness of hand|numbness in my hands
Shoulder pain|pain in shoulders
Lipitor|lipitor
Myalgia|muscle pain
Constant pain|constint shoulder pain
Numbness of finger|finger numbness
Numbness of hand|hand numbness
Pain|pains
Lipitor|lipitor
Lipitor|lipitor
Lipitor|lipitor
Severe pain|Severe pain in both calfs
Severe pain|Severe pain in both thighs
Unable to move leg|unable to lift my legs
Difficulty dressing|unable to put on my pants
Lipitor|Lipitor
Discomfort|discomfort in my legs
Myalgia|myalgia
Lipitor|Lipitor
Poor short-term memory|short term memory loss
Asthenia|extreme fatigue
Knee pain|in my knees joint pain
Reflux|reflux
Lipitor|Lipitor
fenofibrate|Tricor
Lipitor|Lipitor
fenofibrate|Tricor
Lipitor|Lipitor
Lipitor|Lipitor
Fatigue|fatigue
Knee pain|knees hurt
Always sleepy|sleepy all or most sf the time
Muscle atrophy|muscle disintegration/degeneration
Fatigue|fatigue
Myalgia|muscle pain
Arthralgia|joint pain
Lipitor|Lipitor
Severe pain|severe pain in my legs
Severe pain|severe pain in my feet
Muscle weakness|decrease in muscle strength
Lipitor|Lipitor
Severe pain|EXTREME PAIN IN SHOULDERS
Amnesia|LOSS OF MEMORY
Oedema of lower extremity|severe edema of lower extremities
Visual disturbance|vision problems
Muscle weakness|muscle weakness
Shoulder pain|shoulder pain
Numbness|numbness on left side
Pulse fast|rapid pulse
Productive cough|productive cough
Incoordination|poor coordination while walking (kept bumping into things)
Lightheadedness|light-headedness (hurt to hold my head up or turn my head from side to side and that made driving real difficult)
Weight gain|weight gain
Oedema|edema
Lipitor|Lipitor
Oedema|edema
Lipitor|lipitor
Calf muscle weakness|loss of muscle strenth, mainly calves
Lipitor|lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Mentally dull|feel like an airhead
Dizziness|slightly dizzy virtually all the time
Unable to think clearly|frequently unable to think clearly
Alzheimer's disease|Alzheimer's
Severe pain|severe pain in my knees
Severe pain|severe pain in my thighs
Exhaustion|exhausted all the time
Lipitor|Lipitor
Chronic fatigue syndrome|Severe chronic fatigue
Muscle weakness|muscle weakness
Unable to concentrate|problems with concentration
Memory impairment|problems with memory
Severe depression|Severe depression
Exhaustion|exhausted
Asthenia|weak
Unable to find words|unable to find words or remember names
Unable to lift|hardly able to lift things
Weakness of limb|Legs would go wobbly
Exhaustion|exhausting
Lipitor|Lipitor
Lipitor|Lipitor
Myalgia|muscle pain
Lipitor|Lipitor
Arthralgia|Joint Pain
Joint stiffness|Joint Stiffness
Muscle rigidity|Muscle Stiffness
Myalgia|Muscle Pain
Pain|pain
Stiffness|stiffness
Arthritis|arthritis
Pain in lower limb|pain in my legs
Pravachol|Pravachol
Mentally dull|in a fog
Lipitor|Lipitor
Lipitor|Lipitor
Severe pain|severe pain in hips
Severe pain|severe pain in legs
Pain|so much pain
Stiff legs|stiffness in both legs
Hip stiff|stiffness in hips
Weakness of limb|weakness in both legs
Weakness of limb|weakness in hips
Hip pain|pain in hips
Pain in lower limb|pain in both legs
Limping|limp
Backache|Slight muscle aches in my back
Vertigo|vertigo
Muscle spasms of head AND/OR neck|cramping neck muscels
Weakness of limb|arm weakness
Muscle weakness|total muscel weakness
Unable to walk|could not walk for three weeks
Depression|depression
Hypersomnia|excessive sleep
Loss of hair|hair loss
Poor short-term memory|memory (sht term)loss
Reduced libido|loss of sex drv
Peripheral neuropathy|toe neuropathy
Disorder of foot|other foot problems
Lipitor|Lipitor
Peripheral neuropathy|toe neuropathy
Stomach problem|stomach problems
Pain|pain
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
simvastatin|SIMVISTATIN
Lipitor|LIPITOR
Lipex|LIPEX
simvastatin|SIMVISTATIN
Hip pain|pain in hips
Unable to walk|cannot walk even a short distance due to pain
Muscle fatigue|Legs felt like they had run a marathon
Deep bruising|Deep bruising
Hip pain|Joint pain in hips
Elbow joint pain|Joint pain in elbows
Pain in spine|Joint pain in spine
Exhaustion|Exhaustion
Lipex|LIPEX
Hip pain|hip pain
Bursitis of hip|bursitis in the hips
Severe pain|severe hip pain
Walking disability|cannot walk more than 5 yards
ubidecarenone|coQ10
Myalgia|muscle pain
ubidecarenone|coQ10
Achilles tendonitis|Achilles peritendonitis
Knee pain|sore knees
Pain in finger|sore fingers
Ankle pain|sore ankles
Stiffness|Stiffness
Abnormal gait|my gait was like someone who could barely walk
Lipitor|Lipitor
Lipitor|Lipitor
Lipex|LIPEX
Hip pain|pain in hips
Unable to walk|cannot walk even a short distance due to pain
Muscle fatigue|Legs felt like they had run a marathon
Deep bruising|Deep bruising
Hip pain|Joint pain in hips
Elbow joint pain|Joint pain in elbows
Pain in spine|Joint pain in spine
Exhaustion|Exhaustion
Lipex|LIPEX
Hip pain|hip pain
Bursitis of hip|bursitis in the hips
Severe pain|severe hip pain
Walking disability|cannot walk more than 5 yards
Headache|headaches
Pain in throat|pain in throat
Pins and needles|tingling in side of face
Anxiety|anxiety
Depression|depression
Nausea|nausea
Spasm|bad cramps
Chest pain|chest pains
Lipitor|lipitor
Skin irritation|abdominal irritation
Abdominal hyperaesthesia|sensation that feels like electricity zapping around my midsection
Feels hot|feel hot
Feeling irritable|irritable
Lipitor|lipitor
Mentally dull|feeling in a fog
Memory impairment|memory problems
Muscle weakness|muscle weakness in mouth area
Dysphonia|speech difficulties like pronunciation
Difficulty chewing|chewing/swallowing difficulties like biting my tongue and inside my cheek
Weakness of limb|muscle weakness in my right hand causing me to lose grip and drop things
Unsteady when standing|balance problems when turning around or standing to walking movements
Lipitor|Lipitor
Lack of libido|lack of sex drive
Severe pain|severe leg muscle pains
Pain in lower limb|leg pain
Arthralgia|joint pain
Lipitor|Lipitor
Foot pain|foot pain
Neuroma of foot|neuroma in the right foot
Hammer toe|hammer toe
Heel pain|left heel pain
Lipitor|Lipitor
Foot pain|foot pain
Foot pain|foot pain
Lipitor|Lipitor
Foot pain|foot pain
Pain|pain
Pain provoked by walking|discomfort when I walk
ascorbic acid|Vit. C
Foot pain|foot pain
Lipitor|Lipitor
Severe pain|severe pain in my left arm
Pain in upper limb|pain in my arm
Lipitor|Lipitor
Pain|pain
Pins and needles|tingling in my arms
Pain|pain
Muscle weakness|lost all strength
Unable to move arm|couldn't use my arm
Lipitor|Lipitor
Disorder of muscle|myopathy
Liver disease|liver damage
Malignant neoplastic disease|cancer
Burning feet|burning feet in toe area
Numbness of toe|numb feet in toe area
Stomach ache|discomfort in right side upper and lower of stomach area
Neuropathy|neurophathy
Lipitor|Lipitor
Stomach ache|stomach discomfort
Headache|Severe headache
Arthralgia|joint pain
Myalgia|muscle pain
Loss of appetite|anorexia
Excessive upper gastrointestinal gas|extreme gas
Amnesia|memory loss
Mood swings|mood swings
Myocardial infarction|miocardial infarction
Excruciating pain|pain was unbearable
Headache|pain from the headache
Lipitor|Lipitor
Zocor|Zocor
Crestor|Crestor
Lipitor|Lipitor
Severe pain|severe leg pains
Asthenia|Weak
Sharp pain|sharp pain in the ball of my right foot
Neuroma|neuroma
Metatarsalgia|metatarsalgia
Foot pain|left foot started hurting
Lipitor|Lipitor
Pain|pain
Severe pain|horrible pain
Lipitor|Lipitor
Inflammatory disorder|inflamation
Heart disease|heart disease
Cerebrovascular accident|stroke
Severe pain|severe pain
Memory impairment|memory deficits
Mentally dull|mental fogginess
Parkinsonian tremor|parkinson's-type tremor in left hand
Myalgia|muscle pain
Tremor|tremor
Muscle weakness|loss of muscel strength
Vertigo|vertigo
Muscle spasms of head AND/OR neck|cramping neck muscels
Reduced libido|loss of sexual drive
Hallucinations|halucinations during day
Unable to get off a bed|unable to get out of bed
Unable to walk|unable to walk
Impaired cognition|reduced mental capabiities
Depression|depression
Hypersomnia|excessive sleep requirements
Memory impairment|memory problems
Depression|depression
Myalgia|muscle aches
Arthralgia|joint pain
Impaired exercise tolerance|exercise intolerance
Transient global amnesia|transient global amnesia
Lipitor|Lipitor
Generally unwell|feeling horrible like a severe flu just hit me
Not getting enough sleep|couldn't get enough sleep
Asthenia|was incredibly week
Generalised acute body pains|had pains throughout my upper body
Arthralgia|joint aches
Burning feet|burning feet
Myalgia|MUSCLES ACHED
Walking disability|DIFFICULTY IN WALKING
Impairment of balance|AFFECTED MY BALANCE
Loss of hair|hair loss
Weight gain|weight gain
Myalgia|muscle pain
Loss of hair|hair loss
Weight gain|weight gain
Blurred vision - hazy|blurred vision
Loss of hair|hair was falling off
Failure to lose weight|could not lose weight even exercising and eating healthy food
Lipitor|Lipitor
Body fluid retention|fluids pooling in my lower extremeties - especially my feet
Excessive upper gastrointestinal gas|general muscle soreness
Rheumatoid arthritis|rheumatoid arthritis
Pins and needles|tingling hands
Hand pain|aches in hands
Chest discomfort|chest discomfort
Difficulty breathing|difficulty breathing
Nasal congestion|stuffy nose
Weakness of limb|weakness in legs
Backache|back pain
Chest pain|chest pains
Difficulty breathing|difficulty breathing
Weakness of limb|weak legs
Myalgia|muscle soreness
Backache|back soreness
Ringing in ear|ears ringing
Feeling bad|feel bad
Zocor|Zocor
Lipitor|Lipitor
Indigestion|Indigestion
Chest pain|Chest pains
Neuropathy of upper limb|Neuropothy in right arm
Neuropathy of upper limb|Neuropothy in right hand
Zocor|Zocor
Lipitor|Lipitor
Constant pain|extreme constant pain
Unable to think clearly|fuzzy headed
Muscle atrophy|muscle loss
Lipitor|Lipitor
Angina|angina attacks
Pain in calf|severe pain in left leg
Severe pain|severe pain in buttocks
Acute pain|sudden onset of pain
Cannot sleep at all|Couldn't sleep
Acute pain|Sudden knee pain
Severe pain|horriable crippeling pain hit both knees at same moment
Foot swelling|lumpy swelling on both feet in same place on each
Acute pain|sudden horriable grabbing pain in one ankle
Excessive upper gastrointestinal gas|gas
Indigestion|indigestion
Acid reflux|acid reflux
Lack of energy|no energy
Confusion|confusion
Stumbling gait|stumbeling
Vertigo|vertigo
Amnesia|memory loss
Urinary frequency|frequent sudden urges to go pee that came out with a force that sprayed everywhere
Severe pain|horriable pain in a different joint
Arthritis|arthritis
Tendonitis|tendonitis
Bursitis|burscitis
Acute pain|Sudden grabbing pain in ankle
Severe pain|HORRIABLE pain that almost throws me down
Confusion|confusion
Lipitor|Lipitor
Muscle atrophy|loss of muscle
Asthenia|weakness
Hepatic failure|liver disfunction
Exhaustion|exhaustion
Severe pain|extreme muscle pain
Myalgia|muscle pain
Myalgia|muscle pain
Walking disability|inability to walk with left foot pain
Amnesia|Memory loss
Decreased muscle tone|overall loss of muscle tone
Lipitor|Lipitor
Lipitor|Lipitor
Restless legs|restless leg syndrom
Lipitor|lipitor
Serum triglycerides raised|high triglycerides
fenofibrate|tricor
Lipitor|lipitor
fenofibrate|tricor
Influenza-like illness|feel flu like
Cramp in lower limb|cramps in legs
Muscle cramp|cramps in chest
Rash|rashes appear
Hypersomnia|sleep alot
Fatigue|feel fatigued
Gingival oedema|gums swelling
Abnormal vision|visual anomalies
Numbness|numbness in muscles
Pain in throat|sore throat
Myalgia|muscle pain
simvastatin|Simvastatin
Influenza-like illness|flu-like symptoms
Pain in lower limb|legs just ached
Ankle pain|hurt from my ankles to my hips
Walking disability|could hardly walk
Pravachol|Pravachol
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Severe pain|severe pain close to my the crotch area
Reduced mobility|Could barely move
Difficulty walking up stairs|could barely walk;had to use a cane
Lipitor|Lipitor
Hepatomegaly|Enlarged liver
Lipitor|Lipitor
Pain|pain
Muscle weakness|muscles had become weak and stressed
Pain|Pain
ezetimibe|Zetia
Charleyhorse|Terrible charlie horses
Muscle cramp|cramping
Lipitor|lipitor
Lipitor|lipitor
Amyotrophic lateral sclerosis|als
Pain in lower limb|leg pains
Difficulty swallowing|trouble swallowing
Arthralgia|Joint pain
Severe pain|SEVERE muscle pain - especially in lower calfs of both legs
Walking disability|hard time walking
Zocor|Zocor
Myocardial infarction|heart attack
Heart failure|weak heart muscle
Lipitor|Lipitor
Pain in lower limb|Lower legs have been hurting
Myalgia/myositis - lower leg|leg muscle inflamed
Fatigue|much fatigue
ubidecarenone|CQ10
Lipitor|lipitor
Lipitor|lipitor
Lipitor|lipitor
Unable to balance|loss body balance
Arthralgia|joint pain
Myalgia|muscle aches
Weakness of limb|weak legs
Amnesia|memory loss
Impairment of balance|lost some body balance
Lipitor|lipitor
Lipitor|lipitor
Myalgia|muscle pain
Arthralgia|joint pain
Memory impairment|lost some memory
Lipitor|lipitor
Lipitor|lipitor
Lipitor|lipitor
Cramp in foot|Cramps in my feet
Pain|pain in the lower part of my knees
Fatigue|fatigue
Mentally dull|mental fog
Lipitor|Lipitor
Lipitor|Lipitor
simvastatin|Simvistatin
simvastatin|Simvistatin
Lipitor|Lipitor
Cannot sleep at all|not sleeping
Excessive upper gastrointestinal gas|geting bad swets
Severe pain|extreme pain in legs
Severe pain|extreme pain in back
Lipitor|Lipitor
Zocor|Zocor
Cramp in lower limb|Leg cramps
Fatigue|fatique
Asthenia|overall weak feeling
Depression|depression
Stiffness|finger stiffness
Joint stiffness|finger joints locking up
Lipitor|lipitor
Depression|depression
Finger joint locking|locking fingers
Stiffness|finger stiffness
Pain|pain
Muscle weakness|muscle weakness
Rupture of tendon|tendon ruptures
Amnesia|memory loss
Lipitor|Lipitor
Serum triglycerides raised|elevated levels of triglycerides
Serum cholesterol raised|elevated levels of cholesterol
omega-3-acid ethyl esters-90|omega 3
fish oil natural|fish oil
Rupture of Achilles tendon|tore my right Achilles tendon just simply taking off from a sprinters stance
Rupture of Achilles tendon|tore my left Achilles tendon by simply jumping in the air
Rupture of tendon|tendon damage/ruptures
Abdominal distension|Abdominal distention - feel full
Pain in upper limb|back pain in the am
Cramp in lower limb|leg cramps
Tightness sensation|Weird tight feeling in my head
Excessive upper gastrointestinal gas|Gas
Insomnia|insomnia
Muscle weakness|loss of muscle strength
Pain in cheek|Sores on the inner cheeks
Tight chest|Weird tight feeling in chest cavity
Serum triglycerides raised|tryc through the roof
Flatulence/wind|flatulence
Generalised aches and pains|mild aches
Indigestion|occasional indigestion
Lipitor|Lipitor
Amnesia|memory loss
Pain in left leg|extreme ache in left leg
Severe pain|extreme ache in left arm
Lipitor|lipitor
Pain in upper limb|arm aching
Severe pain|ache was extreme, almost unbearable
Severe pain|Severe lower back pain
Shoulder pain|aching pain across my shoulders
Asthenia|felt weak
Muscle atrophy|shrinking muscels leg
Muscle atrophy|shrinking muscels arms
Muscle atrophy|shrinking muscels neck
Vertigo|vertgo
Unable to get off a bed|unable to get out of bed
Amnesia|loss of memory
Muscle weakness|loss of strength
Hallucinations|halucinations
Poor peripheral circulation|LITTLE CIRCULATION IN MY FINGERS
Lipitor|LIPITOR
Lipitor|LIPITOR
Ulcer|ULCERATIONS
Extreme exhaustion|EXTREME EXHAUSTION
Severe pain|Severe back pain
Myalgia|muscles pain
Lack of energy|loss of energy
Depression|depression
Pain|pains
testosterone|testonrone
Deseril|trazadone
Lipitor|Lipitor
Lipitor|lipitor
Feeling high|feel drugged
Severe pain|severe muscle pain
Unable to lie down|could not lie on either side in bed
Shoulder pain|shoulder pain was unbearable
Lipitor|Lipitor
Depression|very serious depression
Thoughts of self harm|thoughts of hurting myself
Lipitor|Lipitor
Rhabdomyolysis|rhabdomyolosis
Myalgia|myalgia
Peripheral neuropathy|periphael neuropathy
Tinnitus|tinninitus
Rheumatoid arthritis|rheumatoid arthritis
Generalised aches and pains|aches and pains
Myalgia|Muscle pain
Severe pain|severe neck pain
Shoulder pain|shoulder pain
Backache|back pain
Pain in lower limb|leg pain
Lipitor|Lipitor
Hip pain|Hip pain
Pain in lower limb|leg pain
Shoulder pain|shoulder pain
Limping|limp
Stiffness|Stiffness
Asthenia|Extreme fatigue
Depression|Depression
Difficulty sleeping|Difficulty sleeping
Lipitor|Lipitor
Pain|pain
Stiffness|stiffness
Ringing in ear|Ringing in the ears
Amnesia|memory loss
Lipitor|Lipitor
Trigeminal neuralgia|trigeminal neuralgis
Zocor|Zocor
Lipitor|Lipitor
Lipitor|Lipitor
Myalgia|muscle pain
Hand joint stiff|stiffness in hands
Hand pain|pain in hands
Walking disability|trouble with walking/balance
Neck pain|neck pain
Shoulder pain|shoulder pain
Cramp in calf|cramping in calf
Myalgia|Muscle aches
Weakness of limb|weakness in arms
Shoulder girdle weakness|weakness in shoulders
Weakness of back|weakness in upper back
Weakness of limb|weakness in legs
Weakness of neck|weakness in neck
Severe pain|Severe pain
Pain|Pain
Asthenia|weakness
Pain|pain
Foot pain|ball of my left foot was so painful
Lipitor|Lipitor
Lipitor|Lipitor
Serum creatinine raised|CPK mildly elevated
Lipitor|Lipitor
Serum creatinine raised|slightly elevated CPK
Lipitor|Lipitor
Pain|pain
Asthenia|weakness
Pain in toe|toes painful
Muscle weakness|muscle weakness
Myalgia|muscle pain
Liver enzymes abnormal|liver enzymes sky-high
Lipitor|Lipitor
Pain|pain
Fatigue|fatigue
Muscle injury|permanent, irreversible muscle damage
Injury of muscle|muscle damage
Cramp in lower limb|cramps in left leg
Paraesthesia of lower extremity|no feeling in right leg
Lipitor|Lipitor
Irregular heart beat|irregullar heartbeat
Fatigue|sever fatigue
Steatosis of liver|fatty liver
Type 1 diabetes mellitus|type 1 Diabetes
Lipitor|Lipitor
Lipitor|lipitor
Lipex|lipex
Facial swelling|face had swollen up
Pain provoked by walking|walk was a very painful and a very slow
Degenerative disorder of muscle|degenative muscle problem
Lipitor|lipitor
Lipitor|lipitor
Lipitor|lipitor
Amnesia|Loss of memory
Aphasia|aphasia
Tremor|tremor
Anger reaction|violent anger
Crying associated with mood|tearfulness
Insomnia|insomnia
Muscle weakness|muscle weakness
Easy bruising|easy bruising
Epistaxis|nosebleeds
Bleeding|Bleeding problems
Contusion|bruising problems
Insomnia|Insomnia
Mood disorder|Mood problems
Language difficulty|language problems
Memory impairment|memory problems
Tremor|Tremor
Tremor|tremor
Asthenia|extreme fatigue
Myalgia|muscle pain
Myocardial infarction|heart attackes
fish oil natural|fish oil
Lipitor|Lipitor
Muscle weakness|muscle weakness
Myalgia|muscle pain
Headache|headaches
Dyssomnia|sleep disturbances
Myopathy|problems with various muscles
Myalgia|lots of pain in the muscles
Muscle tension|muscles very tight
Stiff neck|neck stiff
Muscle tension|muscles are like boards they're so tight
Pain in left arm|pain has gone into my upper arm on my left side
Shoulder pain|pain has gone into my shoulder
Tightness in arm|right arm is tight
Muscle tension|lower back is also tight
Headache|terrible headaches
Hypertonia|tight neck muscles
Myalgia|muscle pain
Lipitor|Lipitor
Serum creatinine raised|elevated creatine
Lipitor|Lipitor
Lipitor|Lipitor
Discomfort|discomfort
ascorbic acid|vitamin C
Myocardial infarction|heart attack
Lipitor|Lipitor
Renal failure|Kidney failure
Difficulty swallowing|difficulty swallowing
Knee pain|persistent pain in knee
Pain in calf|persistent pain in calf
Poor short-term memory|short term memory loss
Peripheral neuropathy|peripheral neuropathy
Constipation|constipation
Dyssomnia|sleep disturbance
Mood swings|mood change
Aggression|rage
Lipitor|Lipitor
Renal failure|kidney failure
ezetimibe|zetia
Pain in lower limb|leg pain
Renal failure|kidney failure
Myocardial infarction|heart attacks
Pain in lower limb|Leg pain
Renal failure|kidney failure
Severe pain|debilitating muscle pains
Fatigue|horrible fatigue
Paraesthesia of lower extremity|tingling in my legs
Pins and needles|tingling in my fingers
Pins and needles|tingling in my arms
ubidecarenone|CoQ10
Lipitor|Lipitor
Cramp in lower limb|leg cramps
Stomach problem|Stomach problems
Myalgia|muscle pain
Mood swings|mood swings
Headache|headaches
Arthralgia|joint pain
Lipitor|Lipitor
Muscle cramp|muscle cramps
Depression|depression
Feeling irritable|irritable
Tired|tired
Bad circulation - vasomotor change|circulatory problems
Stabbing pain|Stabbing pain between shoulder blades
Lack of energy|no energy
Poor muscle tone|muscle tone depletion
Muscle weakness|strength depletion
Numbness of lower limb|numbness in upper legs from knee to thigh
Foot pain|pain in left foot
Numbness of foot|numbness in left foot
Foot pain|pain in feet
Crestor|Crestor
Severe depression|extreme depression
Suicidal thoughts|suicidal thoughts
Plantar fasciitis|Severe plantar faciitis
Pain in lower limb|debillitating leg pain
Weakness of limb|severe leg muscle weakness
Weakness of hand|hand weakness (constantly dropping things)
Palpitations|palpitations
Tachycardia|tachycardia
Irregular heart beat|irrecular heartbeat
Tightness in throat|throat tightness
Difficulty breathing|difficulty/shallow breathing
Fatigue|fatigue
Lipitor|Lipitor
Amyotrophic lateral sclerosis|ALS
Stiffness|stiffness in whole body
Unable to balance|loss of balance
Unable to stand up|no power to standup himself
Weight loss|loss of weight
Muscle weakness|acute weakness in the muscles of whole body
Reduction of bulk of muscle|muscles of whole body dilution in size
Constipation|constipitation
Urinary incontinence|no control over urination
Loss of voice|loss of vocal sound
Choking|choking the throat
Respiratory depression|lungs detoriation like less intake of oxigen
Lipitor|lipitor
Amyotrophic lateral sclerosis|ALS
Foot swelling|Swollen feet
Swollen ankle|Swollen ankles
Burning sensation|burning ankles
Burning feet|burning feet
Burning feet|ball of the foot would feel as if it was inflamed
Paraesthesia of foot|Constant pins and needles in the toes
Pins and needles|Constant pins and needles in the ball of the foot
Pins and needles|very painful pins and needles over entire foot
Swelling|swelling
Lipitor|Lipitor
Swelling|swelling
Peeling of skin|foot skin flaked off like dermatitis
Peeling of skin|ankle skin flaked off like dermatitis
Walking disability|Trouble walking
Walking disability|hard to pick up feet
Impairment of balance|balance is off at times
Myalgia/myositis - forearm|Pain in muscles of both upper arms
